date,time_utc,callsign,ant1_snr_db,ant2_snr_db,delta_db,band,mode,scoring_mode,antenna_winner
2026-04-21,05:55:43,EI1DG,-15,-18,-3.0,40m,FT8,Diversity_Dx,A1
2026-04-21,05:55:58,SP5HQZ,-15,-14,1.0,40m,FT8,Diversity_Dx,A2
2026-04-21,05:55:58,S57BTI,-15,-14,1.0,40m,FT8,Diversity_Dx,A2
2026-04-21,05:55:58,SP2BZ,-18,-17,1.0,40m,FT8,Diversity_Dx,A2
2026-04-21,05:55:58,EA2KV,-19,-18,1.0,40m,FT8,Diversity_Dx,A2
2026-04-21,05:55:58,SP2SP,-16,-19,-3.0,40m,FT8,Diversity_Dx,A1
2026-04-21,05:55:58,IK4LZH,-19,-20,-1.0,40m,FT8,Diversity_Dx,A1
2026-04-21,05:55:58,IV3JJT,-21,-20,1.0,40m,FT8,Diversity_Dx,A2
2026-04-21,05:56:28,E70A,-21,-15,6.0,40m,FT8,Diversity_Dx,A2
2026-04-21,05:56:43,EC3A,-21,-25,-4.0,40m,FT8,Diversity_Dx,A1
2026-04-21,05:57:28,SP6MAA,-14,-15,-1.0,40m,FT8,Diversity_Dx,A1
2026-04-21,05:58:13,DL1UDO,-19,-19,0.0,40m,FT8,Diversity_Dx,A1
2026-04-21,05:58:13,F1MXE,-22,-22,0.0,40m,FT8,Diversity_Dx,A1
2026-04-21,05:58:43,SE3X,-18,-25,-7.0,40m,FT8,Diversity_Dx,A1
2026-04-21,05:58:58,OK2OM,-22,-18,4.0,40m,FT8,Diversity_Dx,A2
2026-04-21,05:58:58,OH2LV,-21,-19,2.0,40m,FT8,Diversity_Dx,A2
2026-04-21,05:58:58,SP6FME,-19,-19,0.0,40m,FT8,Diversity_Dx,A1
2026-04-21,05:59:28,EB3DBR,-21,-22,-1.0,40m,FT8,Diversity_Dx,A1
2026-04-21,05:59:28,SP2MS,-21,-22,-1.0,40m,FT8,Diversity_Dx,A1
2026-04-21,05:59:43,EA8W,-19,-24,-5.0,40m,FT8,Diversity_Dx,A1
2026-04-21,06:00:13,9A4ZM,-18,-18,0.0,40m,FT8,Diversity_Dx,A1
2026-04-21,06:00:28,IV3JTG,-18,-14,4.0,40m,FT8,Diversity_Dx,A2
2026-04-21,06:00:28,IK4LZH,-18,-22,-4.0,40m,FT8,Diversity_Dx,A1
2026-04-21,06:01:13,HA1ZW,-17,-15,2.0,40m,FT8,Diversity_Dx,A2
2026-04-21,06:01:13,EA7DJN,-15,-17,-2.0,40m,FT8,Diversity_Dx,A1
2026-04-21,06:01:58,IK1JUS,-17,-15,2.0,40m,FT8,Diversity_Dx,A2
2026-04-21,06:01:58,SP5HQZ,-18,-17,1.0,40m,FT8,Diversity_Dx,A2
2026-04-21,06:02:13,F1MXE,-19,-21,-2.0,40m,FT8,Diversity_Dx,A1
2026-04-21,06:02:28,SP4OIK,-19,-24,-5.0,40m,FT8,Diversity_Dx,A1
2026-04-21,06:02:43,IU1MJS,-20,-19,1.0,40m,FT8,Diversity_Dx,A2
2026-04-21,06:02:43,EB3DYW,-20,-24,-4.0,40m,FT8,Diversity_Dx,A1
2026-04-21,06:03:28,F4LOB,-19,-22,-3.0,40m,FT8,Diversity_Dx,A1
2026-04-21,06:11:58,EM100WD,-24,-22,2.0,40m,FT8,Diversity_Dx,A2
2026-04-21,06:20:13,RV3YN,-25,-16,9.0,40m,FT8,Diversity_Dx,A2
2026-04-21,06:27:28,US1MM,-24,-23,1.0,40m,FT8,Diversity_Dx,A2
2026-04-21,06:39:43,SP0LPR,-25,-20,5.0,40m,FT8,Diversity_Dx,A2
2026-04-21,07:39:58,MM7CEH,-25,-20,5.0,40m,FT8,Diversity_Dx,A2
2026-04-21,07:51:28,IK2ABZ,-24,-19,5.0,40m,FT8,Diversity_Dx,A2
2026-04-21,07:52:13,IQ4JO,-24,-16,8.0,40m,FT8,Diversity_Dx,A2
2026-04-21,08:51:28,OE3KJO,-25,-21,4.0,40m,FT8,Diversity_Dx,A2
2026-04-21,08:53:13,DL5NDD,-24,-19,5.0,40m,FT8,Diversity_Dx,A2
2026-04-21,08:53:13,GM5CAR,-25,-20,5.0,40m,FT8,Diversity_Dx,A2
2026-04-21,08:54:28,SP9MQS,-25,-18,7.0,40m,FT8,Diversity_Dx,A2
2026-04-21,08:56:58,F4SNF,-25,-19,6.0,40m,FT8,Diversity_Dx,A2
2026-04-21,09:02:43,M7CVK,-25,-22,3.0,40m,FT8,Diversity_Dx,A2
2026-04-21,09:31:28,OE3KJO,-24,-23,1.0,40m,FT8,Diversity_Dx,A2
2026-04-21,10:36:58,OE3FVU,-24,-21,3.0,40m,FT8,Diversity_Dx,A2
2026-04-21,10:41:28,DL3MCW,-25,-20,5.0,40m,FT8,Diversity_Dx,A2
2026-04-21,11:03:13,M0CKX,-24,-19,5.0,40m,FT8,Diversity_Dx,A2
2026-04-21,11:09:58,OE3FVU,-24,-20,4.0,40m,FT8,Diversity_Dx,A2
2026-04-21,11:30:43,M7GFJ,-24,-16,8.0,40m,FT8,Diversity_Dx,A2
2026-04-21,11:38:28,F4SNF,-24,-14,10.0,40m,FT8,Diversity_Dx,A2
2026-04-21,12:02:43,M7KSV,-25,-23,2.0,40m,FT8,Diversity_Dx,A2
2026-04-21,12:05:43,G7DMD,-24,-20,4.0,40m,FT8,Diversity_Dx,A2
2026-04-21,12:08:43,M7GFJ,-24,-21,3.0,40m,FT8,Diversity_Dx,A2
2026-04-21,14:05:28,M6RVA,-24,-18,6.0,40m,FT8,Diversity_Dx,A2
2026-04-21,14:09:58,IK4LZH,-24,-21,3.0,40m,FT8,Diversity_Dx,A2
2026-04-21,14:13:28,SP4KGK,-24,-17,7.0,40m,FT8,Diversity_Dx,A2
2026-04-21,14:34:43,HB9ZCF,-24,-20,4.0,40m,FT8,Diversity_Dx,A2
2026-04-21,14:34:43,OE/E7POTA,-24,-21,3.0,40m,FT8,Diversity_Dx,A2
