date,time_utc,callsign,ant1_snr_db,ant2_snr_db,delta_db,band,mode,scoring_mode,antenna_winner
2026-04-21,07:21:58,F1UNR,-24,-20,4.0,40m,FT8,Diversity_Normal,A2
2026-04-21,07:54:43,F6BHK,-24,-20,4.0,40m,FT8,Diversity_Normal,A2
2026-04-21,08:10:13,DL7EDU,-24,-22,2.0,40m,FT8,Diversity_Normal,A2
2026-04-21,08:27:43,SP5EAF,-25,-16,9.0,40m,FT8,Diversity_Normal,A2
2026-04-21,09:48:43,DL3MCW,-25,-21,4.0,40m,FT8,Diversity_Normal,A2
2026-04-21,13:00:43,I2SIP,-25,-19,6.0,40m,FT8,Diversity_Normal,A2
2026-04-21,13:00:43,F5LPL,-25,-22,3.0,40m,FT8,Diversity_Normal,A2
2026-04-21,13:36:13,M7TYH,-24,-20,4.0,40m,FT8,Diversity_Normal,A2
2026-04-21,13:42:28,I2AMH,-24,-17,7.0,40m,FT8,Diversity_Normal,A2
2026-04-21,15:03:28,DL3IAK,-25,-21,4.0,40m,FT8,Diversity_Normal,A2
2026-04-21,15:34:28,SP6DOL,-24,-23,1.0,40m,FT8,Diversity_Normal,A2
2026-04-21,15:34:58,UR5XEJ,-25,-19,6.0,40m,FT8,Diversity_Normal,A2
2026-04-21,15:40:28,LY5DX,-24,-22,2.0,40m,FT8,Diversity_Normal,A2
2026-04-21,15:46:13,LZ2SPD,-25,-19,6.0,40m,FT8,Diversity_Normal,A2
2026-04-21,15:50:13,SP2WLC,-24,-22,2.0,40m,FT8,Diversity_Normal,A2
2026-04-21,22:45:13,4X5JK,-24,-22,2.0,40m,FT8,Diversity_Normal,A2
2026-04-21,22:53:13,R065N,-24,-21,3.0,40m,FT8,Diversity_Normal,A2
2026-04-21,23:19:13,IT9BYL,-24,-20,4.0,40m,FT8,Diversity_Normal,A2
2026-04-21,23:19:58,A60MBZ/5,-25,-22,3.0,40m,FT8,Diversity_Normal,A2
2026-04-21,23:28:58,TA2EE,-24,-23,1.0,40m,FT8,Diversity_Normal,A2
2026-04-21,23:30:28,A60MBZ/5,-25,-18,7.0,40m,FT8,Diversity_Normal,A2
2026-04-21,23:32:28,SV1MOZ,-24,-22,2.0,40m,FT8,Diversity_Normal,A2
2026-04-21,23:39:58,UT5ECZ,-24,-20,4.0,40m,FT8,Diversity_Normal,A2
2026-04-21,23:42:58,4X5JK,-24,-18,6.0,40m,FT8,Diversity_Normal,A2
2026-04-21,23:43:28,UN7JO,-25,-13,12.0,40m,FT8,Diversity_Normal,A2
2026-04-21,23:50:28,UN7JO,-25,-16,9.0,40m,FT8,Diversity_Normal,A2
2026-04-21,23:51:58,KD2UPB,-24,-18,6.0,40m,FT8,Diversity_Normal,A2
2026-04-21,23:56:28,UN7JO,-24,-16,8.0,40m,FT8,Diversity_Normal,A2
2026-04-21,23:57:13,W2GHD,-24,-21,3.0,40m,FT8,Diversity_Normal,A2
2026-04-21,23:58:58,E70A,-24,-19,5.0,40m,FT8,Diversity_Normal,A2
2026-04-22,00:05:28,A60MBZ/5,-24,-19,5.0,40m,FT8,Diversity_Normal,A2
2026-04-22,00:06:28,F4VXE,-24,-20,4.0,40m,FT8,Diversity_Normal,A2
2026-04-22,00:16:58,KC2HMD,-25,-21,4.0,40m,FT8,Diversity_Normal,A2
2026-04-22,00:40:43,HA8LD,-25,-19,6.0,40m,FT8,Diversity_Normal,A2
2026-04-22,00:42:28,EA5JWB,-24,-15,9.0,40m,FT8,Diversity_Normal,A2
2026-04-22,00:47:28,A60MBZ/5,-24,-20,4.0,40m,FT8,Diversity_Normal,A2
2026-04-22,00:51:28,UR4QWW,-25,-19,6.0,40m,FT8,Diversity_Normal,A2
2026-04-22,01:00:13,UI6O,-25,-21,4.0,40m,FT8,Diversity_Normal,A2
2026-04-22,01:10:13,DL9DAC,-24,-22,2.0,40m,FT8,Diversity_Normal,A2
2026-04-22,01:22:13,HG8LXL,-24,-23,1.0,40m,FT8,Diversity_Normal,A2
2026-04-22,01:25:58,HA8LD,-24,-20,4.0,40m,FT8,Diversity_Normal,A2
2026-04-22,01:27:28,EC3A,-24,-23,1.0,40m,FT8,Diversity_Normal,A2
2026-04-22,01:28:13,LZ1UX,-24,-22,2.0,40m,FT8,Diversity_Normal,A2
2026-04-22,01:31:58,F1PBZ,-25,-22,3.0,40m,FT8,Diversity_Normal,A2
2026-04-22,01:46:28,K3FRK,-25,-22,3.0,40m,FT8,Diversity_Normal,A2
2026-04-22,01:53:13,R55KLS,-24,-20,4.0,40m,FT8,Diversity_Normal,A2
2026-04-22,01:56:43,LZ1UX,-24,-22,2.0,40m,FT8,Diversity_Normal,A2
2026-04-22,02:01:58,SV1EAG,-24,-21,3.0,40m,FT8,Diversity_Normal,A2
2026-04-22,02:12:28,W3DIY,-25,-16,9.0,40m,FT8,Diversity_Normal,A2
2026-04-22,02:17:43,R55KLS,-24,-23,1.0,40m,FT8,Diversity_Normal,A2
2026-04-22,02:26:43,LZ3XM,-24,-23,1.0,40m,FT8,Diversity_Normal,A2
2026-04-22,02:27:28,EC3A,-25,-21,4.0,40m,FT8,Diversity_Normal,A2
2026-04-22,02:31:58,KF9UG,-24,-23,1.0,40m,FT8,Diversity_Normal,A2
2026-04-22,02:37:58,I3TXV,-25,-20,5.0,40m,FT8,Diversity_Normal,A2
2026-04-22,02:38:58,SP5LST,-24,-17,7.0,40m,FT8,Diversity_Normal,A2
2026-04-22,02:50:13,R55KLS,-25,-23,2.0,40m,FT8,Diversity_Normal,A2
2026-04-22,02:50:58,R2SDZ,-24,-23,1.0,40m,FT8,Diversity_Normal,A2
2026-04-22,02:55:58,SV1EAG,-25,-23,2.0,40m,FT8,Diversity_Normal,A2
2026-04-22,03:10:43,HG8LXL,-24,-22,2.0,40m,FT8,Diversity_Normal,A2
2026-04-22,03:30:13,TA3NK,-25,-21,4.0,40m,FT8,Diversity_Normal,A2
2026-04-22,03:43:28,IK4JQR,-24,-22,2.0,40m,FT8,Diversity_Normal,A2
2026-04-22,03:43:28,RV3YN,-25,-22,3.0,40m,FT8,Diversity_Normal,A2
2026-04-22,03:44:13,HG8LXL,-25,-21,4.0,40m,FT8,Diversity_Normal,A2
2026-04-22,03:45:28,RM1B,-25,-19,6.0,40m,FT8,Diversity_Normal,A2
2026-04-22,03:47:13,RN3YN,-25,-22,3.0,40m,FT8,Diversity_Normal,A2
2026-04-22,03:47:28,SM3ULU,-24,-16,8.0,40m,FT8,Diversity_Normal,A2
2026-04-22,04:14:28,OK1ZCF,-25,-20,5.0,40m,FT8,Diversity_Normal,A2
2026-04-22,04:14:28,OH6FSO,-24,-21,3.0,40m,FT8,Diversity_Normal,A2
2026-04-22,04:21:58,<...>,-25,-18,7.0,40m,FT8,Diversity_Normal,A2
2026-04-22,04:28:43,HA3MQ,-24,-18,6.0,40m,FT8,Diversity_Normal,A2
2026-04-22,04:30:58,SP2GK,-24,-23,1.0,40m,FT8,Diversity_Normal,A2
2026-04-22,04:31:43,SM3ULU,-25,-15,10.0,40m,FT8,Diversity_Normal,A2
2026-04-22,04:42:28,EA4DEM,-24,-17,7.0,40m,FT8,Diversity_Normal,A2
2026-04-22,04:45:43,SP6LHT,-24,-17,7.0,40m,FT8,Diversity_Normal,A2
2026-04-22,04:48:43,KJ8H,-24,-19,5.0,40m,FT8,Diversity_Normal,A2
2026-04-22,04:52:13,LZ2HN,-25,-21,4.0,40m,FT8,Diversity_Normal,A2
2026-04-22,04:53:58,ZL3RJ,-25,-21,4.0,40m,FT8,Diversity_Normal,A2
2026-04-22,05:15:58,LY7T,-25,-14,11.0,40m,FT8,Diversity_Normal,A2
2026-04-22,05:15:58,R2FBW,-24,-16,8.0,40m,FT8,Diversity_Normal,A2
2026-04-22,05:23:28,YL3ARQ,-24,-20,4.0,40m,FT8,Diversity_Normal,A2
2026-04-22,05:23:58,PY5CC,-24,-19,5.0,40m,FT8,Diversity_Normal,A2
2026-04-22,05:25:28,OE/E7POTA,-25,-22,3.0,40m,FT8,Diversity_Normal,A2
2026-04-22,05:29:58,SP9DWT,-24,-16,8.0,40m,FT8,Diversity_Normal,A2
